speed,lateralSpeed,trackPosition,trackEdge_3,trackEdge_6,trackEdge_9,trackEdge_12,trackEdge_15,angleToTrackAxis,action_accelerate,action_brake,action_clutch,action_gear,action_steering,action_focus
221.193,-0.0154082,0.100542,5.62489,9.52745,200,12.5363,7.101,-0.0301433,1.000000,0.000000,0.000000,6,0.000000,360
222.379,0.00286732,0.140769,5.44452,9.47323,200,12.4683,7.25778,-0.00652482,1.000000,0.000000,0.000000,6,0.000000,360
223.647,-1.73975e-005,0.126382,5.59591,9.8598,200,12.0863,7.09453,0.0145785,1.000000,0.000000,0.000000,6,0.000000,360
224.813,-5.41662e-006,0.0944806,5.80025,10.2198,200,11.744,6.8936,0.0145782,1.000000,0.000000,0.000000,6,0.000000,360
226.117,0.000257337,0.0584244,6.03121,10.6268,200,11.3571,6.6665,0.0145774,1.000000,0.000000,0.000000,6,0.000000,360
227.288,0.000240733,0.0254209,6.24261,10.9992,200,11.003,6.45863,0.014577,1.000000,0.000000,0.000000,6,0.000000,360
228.58,0.000182101,-0.0118219,6.48116,11.4195,200,10.6034,6.22406,0.0145752,1.000000,0.000000,0.000000,6,0.000000,360
229.856,0.000228774,-0.0496971,6.72376,11.847,200,10.197,5.9855,0.0145748,1.000000,0.000000,0.000000,6,0.000000,360
230.984,0.000101193,-0.0836561,6.94128,12.2302,200,9.83263,5.77162,0.0145738,1.000000,0.000000,0.000000,6,0.000000,360
232.112,0.00017615,-0.116577,7.15215,12.6017,200,9.47941,5.56427,0.0145724,1.000000,0.000000,0.000000,6,0.000000,360
233.354,0.000255166,-0.153714,7.39002,13.0209,200,9.08092,5.33036,0.014572,1.000000,0.000000,0.000000,6,0.000000,360
234.457,0.000108826,-0.18764,7.60733,13.4037,200,8.7169,5.11668,0.0145708,1.000000,0.000000,0.000000,6,0.000000,360
235.656,0.000197052,-0.225907,7.85244,13.8356,200,8.3063,4.87566,0.0145695,1.000000,0.000000,0.000000,6,0.000000,360
236.824,-6.50449e-005,-0.264782,8.09794,14.2215,200,7.90492,4.63184,0.0145303,1.000000,0.000000,0.000000,6,0.000000,360
237.85,-3.23082e-005,-0.294922,8.26933,14.4467,200,7.63626,4.45311,0.0101765,1.000000,0.000000,0.000000,6,0.000000,360
238.981,3.79214e-005,-0.314986,8.37342,14.5458,200,7.48019,4.33813,0.00531801,1.000000,0.000000,0.000000,6,0.000000,360
240.1,-3.79825e-005,-0.321866,8.39378,14.5013,200,7.4674,4.30664,0.000434805,1.000000,0.000000,0.000000,6,0.000000,360
241.207,4.18262e-005,-0.316762,8.34869,14.4124,200,7.55338,4.3464,-0.00288374,1.000000,0.000000,0.000000,6,0.000000,360
242.301,-4.21773e-005,-0.308959,8.29922,14.327,200,7.63965,4.39604,-0.00288449,1.000000,0.000000,0.000000,6,0.000000,360
243.276,8.76799e-005,-0.302189,8.2563,14.2529,200,7.71449,4.4391,-0.00288429,1.000000,0.000000,0.000000,6,0.000000,360
244.346,-9.08458e-005,-0.294985,8.21062,14.1741,200,7.79413,4.48494,-0.00288398,1.000000,0.000000,0.000000,6,0.000000,360
245.31,-4.85977e-005,-0.288757,8.17113,14.1059,200,7.86298,4.52455,-0.00288445,1.000000,0.000000,0.000000,6,0.000000,360
246.268,7.92796e-005,-0.28156,8.1255,14.0271,200,7.94255,4.57033,-0.00288421,1.000000,0.000000,0.000000,6,0.000000,360
247.315,-0.000106649,-0.272771,8.06978,13.931,200,8.03971,4.62625,-0.00288388,1.000000,0.000000,0.000000,6,0.000000,360
248.229,-2.58819e-005,-0.265117,8.02125,13.8472,200,8.12434,4.67494,-0.00288443,0.000000,0.000000,0.000000,6,0.000000,360
246.335,-0.0752293,-0.256411,7.96206,13.7312,200,8.23313,4.73273,-0.00375831,1.000000,0.000000,0.000000,6,-0.525000,360
245.19,0.0771018,-0.247445,7.90817,13.6484,200,8.32302,4.78799,-0.00311289,0.000000,0.000000,0.000000,6,0.000000,360
243.5,0.0610132,-0.239325,7.86057,13.5578,195.216,8.40149,4.83724,-0.00225237,1.000000,0.000000,0.000000,6,0.000000,360
243.659,-0.0238126,-0.22947,7.7692,13.2643,181.35,8.6261,4.9175,-0.00746543,0.000000,0.000000,0.000000,6,0.000000,360
240.947,-0.10024,-0.194802,7.50277,12.6518,164.63,9.20342,5.17351,-0.0187571,0.000000,0.000000,0.000000,6,0.000000,360
238.264,-0.102446,-0.130793,7.05704,11.7568,148.307,10.1556,5.62461,-0.0302114,0.000000,0.000000,0.000000,6,0.000000,360
235.889,-0.104023,-0.048005,6.5088,10.7803,133.85,11.2723,6.19602,-0.0405313,0.000000,0.000000,0.000000,6,0.000000,360
235.664,-0.0125332,0.0577993,5.85059,9.68651,118.995,12.5336,6.8862,-0.0408873,0.000000,0.000000,0.000000,6,-0.315000,360
233.861,-0.0856346,0.163944,5.18957,8.58569,103.821,13.8099,7.58058,-0.0415932,0.000000,0.000000,0.000000,6,0.000000,360
233.223,-0.0316601,0.261167,4.58482,7.58096,90.4143,14.9786,8.21654,-0.0421225,0.000000,0.000000,0.000000,6,-0.441000,360
231.109,0.0981765,0.369134,3.91682,6.48306,77.1376,16.2307,8.91445,-0.041151,0.000000,0.000000,0.000000,6,0.000000,360
230.247,0.0368082,0.474549,3.26334,5.40475,63.483,17.4609,9.59726,-0.0405666,1.000000,0.000000,0.000000,6,-1.000000,360
228.113,7.98837,0.509582,3.22618,5.99743,107.041,15.1336,9.29589,0.0571212,0.000000,0.000000,0.000000,6,0.000000,360
225.879,0.427184,0.414441,3.8419,7.10402,91.7151,14.2677,8.72783,0.0530838,0.000000,0.000000,0.000000,6,0.000000,360
223.45,-0.184575,0.285214,4.68265,8.63207,76.9651,13.0158,7.93992,0.0507411,0.000000,0.000000,0.000000,6,0.000000,360
222.765,-0.108105,0.162664,5.42014,9.58151,63.3503,12.4001,7.25842,0.0368318,0.000000,0.000000,0.000000,6,-0.180075,360
220.381,-0.0217928,0.126864,5.50497,9.26363,50.2605,13.0148,7.21776,-0.00831654,1.000000,0.000000,0.000000,6,-0.450000,360
220.143,4.70554,0.187539,5.15152,8.77691,49.2614,13.4668,7.56297,0.00121036,0.000000,0.000000,0.000000,6,-0.240100,360
216.951,12.7219,0.187059,5.41026,10.0176,74.9154,11.8747,7.24882,0.0816468,1.000000,0.000000,0.000000,6,-0.807648,360
216.399,5.10669,0.107344,5.8627,10.6071,75.6702,11.3679,6.82693,0.0611785,0.000000,0.000000,0.000000,6,-0.082354,360
214.069,0.377335,0.0361606,6.15999,10.6066,64.4945,11.4203,6.54076,0.0164597,0.000000,0.000000,0.000000,6,0.000000,360
213.714,-0.142383,0.051375,5.91602,9.74664,51.4982,12.5787,6.81515,-0.028261,0.000000,0.000000,0.000000,6,-0.490000,360
212.244,1.20258,0.118159,5.48889,9.02721,49.6507,13.4812,7.26728,-0.0326203,0.000000,0.000000,0.000000,6,0.000000,360
211.838,-0.466531,0.241322,4.64458,7.41273,37.2642,16.0851,8.24958,-0.0661977,1.000000,0.000000,0.000000,6,-1.000000,360
208.676,18.63,0.324474,4.50854,8.52098,86.1245,13.0515,8.07498,0.0817869,1.000000,0.000000,0.000000,6,-0.117649,360
208.349,13.1188,0.258306,5.11332,10.301,101.534,11.5863,7.51334,0.127101,1.000000,0.000000,0.000000,6,0.000000,360
209.646,0.0080266,0.0760221,6.12232,11.3013,78.6169,10.7584,6.58787,0.0734264,1.000000,0.000000,0.000000,6,0.000000,360
210.642,-0.182601,-0.0398338,6.7218,11.8118,66.9913,10.1973,5.99428,0.0355122,1.000000,0.000000,0.000000,6,0.000000,360
211.599,-0.161694,-0.0758944,6.79736,11.4325,55.6212,10.5243,5.89821,-0.00330108,1.000000,0.000000,0.000000,6,-0.750000,360
212.477,1.96695,-0.0316107,6.45775,10.6753,49.2331,11.4323,6.24652,-0.0201116,1.000000,0.000000,0.000000,6,-0.057648,360
213.486,-0.115929,0.0799727,5.61689,8.86369,35.8751,14.3105,7.20403,-0.0699281,1.000000,0.000000,0.000000,6,-1.000000,360
